combo_name,channels,n_channels,model_name,response_var,eval_metric,n_subjects,n_input_features_pre_corr,n_input_features_post_corr,n_dropped_corr_features,mean_train_score,mean_test_score,std_test_score,mean_baseline
original,"F7,P8,T7,O2",4,ElasticNet,Remitter,nppv,120,83,11,72,146.77456147670216,139.5769841269841,35.2932395188076,0.5
original,"F7,P8,T7,O2",4,L2LogisticRegression,Remitter,nppv,120,83,11,72,147.48604098995278,138.00281385281383,32.098549128371815,0.5
original,"F7,P8,T7,O2",4,SimpleLogisticRegression,Remitter,nppv,120,83,11,72,144.52479608000948,130.73730158730157,30.06206583625217,0.5
original,"F7,P8,T7,O2",4,L1LogisticRegression,Remitter,nppv,120,83,11,72,139.2820495339873,127.08095238095237,32.76049081020418,0.5
original,"F7,P8,T7,O2",4,SupportVectorClassifier,Remitter,nppv,120,83,11,72,147.13800972564601,126.36277056277056,27.396457580995275,0.5
