source_run,combo_name,feature_subset,random_state,channels,n_features_pre_corr,n_features_post_corr,ElasticNet_train_score,L1LogisticRegression_train_score,L2LogisticRegression_train_score,SimpleLogisticRegression_train_score,SupportVectorClassifier_train_score,ElasticNet_test_score,L1LogisticRegression_test_score,L2LogisticRegression_test_score,SimpleLogisticRegression_test_score,SupportVectorClassifier_test_score
channel_comparison_1,central,dynamix_w_exp_std,29,"C3,Cz,C4",83,10,115.80319060671617,126.28194221854503,139.95459566256952,138.61883359769195,153.44491348367114,100.0,100.0,114.28571428571428,114.28571428571428,88.88888888888889
channel_comparison_1,central,dynamix_w_exp_std,58,"C3,Cz,C4",83,10,125.83456296456875,126.84042502075314,136.82850830856015,141.6457757042441,159.7179359106569,100.0,111.11111111111111,100.0,85.71428571428571,85.71428571428571
channel_comparison_1,central,dynamix_w_exp_std,87,"C3,Cz,C4",83,10,138.5513671454697,141.1428127037916,138.5513671454697,138.91082754454848,149.4231583596508,114.28571428571428,114.28571428571428,114.28571428571428,114.28571428571428,88.88888888888889
channel_comparison_1,central,dynamix_w_exp_std,116,"C3,Cz,C4",83,10,137.14233228484505,137.51989602570424,126.0598599018026,136.16607943119118,150.13871366247503,133.33333333333331,133.33333333333331,133.33333333333331,133.33333333333331,133.33333333333331
channel_comparison_1,central,dynamix_w_exp_std,145,"C3,Cz,C4",83,10,132.2311193601023,139.6481425551193,139.02512809831,142.9227385986107,124.54364735624509,100.0,100.0,100.0,100.0,100.0
channel_comparison_1,central,dynamix_w_exp_std,174,"C3,Cz,C4",83,10,139.49059323586096,138.62173702644492,139.49059323586096,141.1715036799186,155.50443926000582,125.0,125.0,125.0,125.0,100.0
channel_comparison_1,central,dynamix_w_exp_std,203,"C3,Cz,C4",83,10,137.8679901998911,130.85337985757508,135.26975971220617,136.569716997841,150.64941475521016,88.88888888888889,75.0,100.0,100.0,85.71428571428571
channel_comparison_1,central,dynamix_w_exp_std,232,"C3,Cz,C4",83,10,136.06134265950382,137.22428396373772,135.80651028257842,138.35560903401628,157.3734481663584,66.66666666666666,133.33333333333331,66.66666666666666,133.33333333333331,120.0
channel_comparison_1,central,dynamix_w_exp_std,261,"C3,Cz,C4",83,10,137.0751575880983,138.9961445956199,147.22122273484547,140.21217154938086,154.53560038203165,66.66666666666666,114.28571428571428,0.0,114.28571428571428,80.0
channel_comparison_1,central,dynamix_w_exp_std,290,"C3,Cz,C4",83,10,133.37762666489317,121.01126780465195,136.6649048625793,136.6649048625793,154.21924550739956,100.0,200.0,133.33333333333331,133.33333333333331,114.28571428571428
