source_run,ElasticNet,L1LogisticRegression,L2LogisticRegression,SimpleLogisticRegression,SupportVectorClassifier
original_4ch_stoch,135.6142857142857,140.05714285714285,137.18253968253967,140.53412698412697,121.70036075036076
original_4ch_stoch_round2,132.87135642135644,130.57582972582972,138.43492063492062,136.8051948051948,129.0997113997114
