combo_name,ElasticNet,L1LogisticRegression,L2LogisticRegression,SimpleLogisticRegression,SupportVectorClassifier
central,123.26349206349205,129.6690476190476,122.90317460317459,132.38730158730158,132.9699134199134
frontal,117.16385281385281,121.25995670995671,126.1631313131313,128.4385281385281,119.24502164502167
frontocentral,120.37301587301589,123.12222222222222,121.04920634920634,125.93412698412698,118.45757575757575
occipital,128.27380952380952,133.31507936507936,132.95995670995669,139.49999999999997,116.48520923520924
parietal,121.2738095238095,120.85158730158727,115.49329004329006,125.53888888888889,108.68318903318902
