combo_name,ElasticNet,L1LogisticRegression,L2LogisticRegression,SimpleLogisticRegression,SupportVectorClassifier
informed1,138.49206349206347,137.1595238095238,136.56428571428572,141.76031746031742,125.17106782106782
informed2,121.56233766233763,126.22698412698412,127.67070707070707,133.07222222222222,124.95194805194804
informed3,136.19206349206345,138.4142857142857,139.61190476190475,142.2190476190476,120.27301587301586
perm1,119.91825396825394,122.50555555555555,117.78412698412698,124.44444444444446,113.87453102453101
perm2,126.11825396825395,127.96507936507935,128.77301587301588,135.90634920634918,123.81551226551227
perm3,133.1626984126984,136.9178932178932,135.25238095238095,140.52619047619046,126.045670995671
perm4,128.06948051948052,131.82186147186147,136.0595238095238,141.08340548340547,121.61515151515152
