combo_name,ElasticNet,L1LogisticRegression,L2LogisticRegression,SimpleLogisticRegression,SupportVectorClassifier
central,123.40281385281384,123.431746031746,123.26587301587303,130.09682539682538,126.79170274170274
frontal,122.91551226551228,123.59920634920633,122.91190476190476,128.04841269841268,112.49025974025973
frontocentral,120.72344877344877,122.57063492063493,123.67893217893217,125.7436507936508,113.84610389610388
occipital,131.1142857142857,134.9515873015873,133.1325396825397,139.14761904761906,125.77950937950938
parietal,120.0916305916306,119.23333333333332,118.96904761904763,126.77142857142859,105.28261183261183
