combo_name,ElasticNet,L1LogisticRegression,L2LogisticRegression,SimpleLogisticRegression,SupportVectorClassifier
perm1,116.22900432900431,118.82020202020202,117.52012987012986,120.59877344877344,107.43073593073593
perm2,119.22979797979797,122.05238095238096,116.5404761904762,119.3531746031746,106.67972582972583
perm3,136.1174603174603,130.35317460317458,136.25281385281386,136.85714285714283,127.97698412698409
perm4,132.77936507936508,128.2183261183261,137.22142857142856,133.98809523809524,123.71471861471862
