combo_name,ElasticNet,L1LogisticRegression,L2LogisticRegression,SimpleLogisticRegression,SupportVectorClassifier
informed1,128.48304473304472,129.60440115440116,129.1492784992785,134.82467532467533,129.32113997113996
informed2,123.9151515151515,121.33412698412694,126.1722222222222,130.13730158730158,120.39249639249638
informed3,126.1484126984127,128.31940836940836,126.14956709956708,133.9622655122655,129.91038961038964
perm1,116.22900432900433,118.82020202020202,117.52012987012986,120.59877344877344,107.43073593073592
perm2,119.22979797979797,122.05238095238096,116.5404761904762,119.3531746031746,106.67972582972584
perm3,136.1174603174603,130.35317460317458,136.25281385281386,136.85714285714283,127.97698412698408
perm4,132.77936507936508,128.2183261183261,137.22142857142856,133.98809523809524,123.71471861471862
